Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
cow,3,103.1,depression,nasal discharge,loss of appetite,pneumonia
buffalo,13,104.5,painless lumps,loss of appetite,depression,lumpy virus
sheep,1,100.5,depression,painless lumps,loss of appetite,lumpy virus
cow,14,100.3,loss of appetite,swelling in limb,crackling sound,blackleg
sheep,2,103.6,difficult breathing,loss of appetite,depression,pneumonia
goat,10,101.2,loss of appetite,blisters on gums,difficulty walking,foot and mouth
sheep,6,103.3,loss of appetite,depression,painless lumps,lumpy virus
goat,6,101.7,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,9,102.5,depression,painless lumps,loss of appetite,lumpy virus
goat,3,102.7,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,1,104.1,nasal discharge,depression,loss of appetite,pneumonia
cow,11,103.9,depression,painless lumps,loss of appetite,lumpy virus
goat,10,100.3,chills,swelling in extremities,shortness of breath,anthrax
sheep,10,100.3,depression,swelling in limb,lameness,blackleg
sheep,1,100.0,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,6,103.1,crackling sound,lameness,depression,blackleg
sheep,7,102.3,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,11,100.5,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,15,100.3,fatigue,sweats,shortness of breath,anthrax
cow,14,102.7,shortness of breath,sweats,chills,anthrax
cow,1,103.7,depression,loss of appetite,painless lumps,lumpy virus
sheep,1,102.3,loss of appetite,painless lumps,depression,lumpy virus
cow,14,100.8,painless lumps,loss of appetite,depression,lumpy virus
sheep,2,101.9,painless lumps,loss of appetite,depression,lumpy virus
cow,7,101.9,chest discomfort,swelling in extremities,shortness of breath,anthrax
goat,6,102.9,loss of appetite,painless lumps,depression,lumpy virus
cow,12,100.3,loss of appetite,depression,painless lumps,lumpy virus
sheep,10,103.4,depression,nasal discharge,loss of appetite,pneumonia
buffalo,1,101.3,shortness of breath,sweats,swelling in extremities,anthrax
sheep,5,101.3,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,2,102.7,loss of appetite,sores on hooves,lameness,foot and mouth
goat,1,101.7,chest discomfort,shortness of breath,chills,anthrax
sheep,5,101.3,fatigue,sweats,swelling in extremities,anthrax
sheep,10,102.9,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,10,104.4,swelling in limb,loss of appetite,crackling sound,blackleg
sheep,3,101.9,loss of appetite,nasal discharge,depression,pneumonia
buffalo,14,102.9,loss of appetite,depression,painless lumps,lumpy virus
goat,7,102.6,swelling in abdomen,shortness of breath,fatigue,anthrax
cow,2,100.3,swelling in limb,crackling sound,difficulty walking,blackleg
goat,6,100.1,swelling in abdomen,shortness of breath,chest discomfort,anthrax
goat,6,103.3,painless lumps,loss of appetite,depression,lumpy virus
sheep,10,100.5,sores on gums,loss of appetite,difficulty walking,foot and mouth
cow,10,103.0,blisters on gums,loss of appetite,difficulty walking,foot and mouth
sheep,3,103.3,coughing,loss of appetite,depression,pneumonia
sheep,7,101.8,coughing,depression,loss of appetite,pneumonia
buffalo,4,100.6,loss of appetite,depression,difficult breathing,pneumonia
sheep,8,102.3,coughing,depression,loss of appetite,pneumonia
buffalo,3,104.7,nasal discharge,,depression,pneumonia
sheep,2,104.7,shortness of breath,chest discomfort,chills,anthrax
buffalo,9,104.7,painless lumps,depression,loss of appetite,lumpy virus
cow,2,100.2,s,loss of appetite,depression,lumpy virus
goat,9,102.8,loss of appetite,depression,difficult breathing,pneumonia
buffalo,13,100.9,fatigue,shortness of breath,chills,anthrax
sheep,4,100.3,loss of appetite,painless lumps,depression,lumpy virus
cow,11,104.8,swelling in extremities,sweats,fatigue,anthrax
goat,10,104.6,chest discomfort,chills,swelling in extremities,anthrax
goat,3,101.4,depression,nasal discharge,loss of appetite,pneumonia
buffalo,5,104.3,fatigue,chills,chest discomfort,anthrax
sheep,1,103.8,lameness,depression,swelling in limb,blackleg
cow,11,104.2,loss of appetite,nasal discharge,depression,pneumonia
buffalo,13,103.6,crackling sound,depression,swelling in limb,blackleg
goat,5,102.8,painless lumps,loss of appetite,depression,lumpy virus
sheep,6,100.4,shortness of breath,swelling in abdomen,chills,anthrax
sheep,3,103.2,depression,loss of appetite,painless lumps,lumpy virus
buffalo,9,102.4,loss of appetite,coughing,depression,pneumonia
goat,6,105.0,depression,lameness,loss of appetite,blackleg
goat,9,103.7,loss of appetite,sores on gums,difficulty walking,foot and mouth
cow,11,103.0,crackling sound,swelling in muscle,loss of appetite,blackleg
sheep,2,103.0,painless lumps,loss of appetite,depression,lumpy virus
goat,9,102.2,swelling in muscle,difficulty walking,crackling sound,blackleg
sheep,9,104.4,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,2,104.8,swelling in muscle,loss of appetite,lameness,blackleg
buffalo,2,101.3,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,15,101.4,depression,loss of appetite,difficult breathing,pneumonia
goat,6,104.5,loss of appetite,depression,painless lumps,lumpy virus
buffalo,13,103.2,shortness of breath,fatigue,sweats,anthrax
sheep,3,101.0,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,3,100.2,chest discomfort,sweats,swelling in extremities,anthrax
buffalo,11,103.3,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,8,102.8,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
buffalo,11,102.9,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,5,103.8,lameness,blisters on mouth,loss of appetite,foot and mouth
goat,3,103.8,chest discomfort,swelling in neck,chills,anthrax
cow,12,104.8,coughing,loss of appetite,depression,pneumonia
buffalo,1,102.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11,101.9,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,8,101.8,loss of appetite,sores on tongue,difficulty walking,foot and mouth
goat,8,100.9,depression,painless lumps,loss of appetite,lumpy virus
sheep,6,100.4,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,10,102.1,loss of appetite,lameness,crackling sound,blackleg
sheep,3,104.9,depression,coughing,loss of appetite,pneumonia
cow,12,101.6,depression,loss of appetite,painless lumps,lumpy virus
goat,1,102.5,loss of appetite,depression,painless lumps,lumpy virus
cow,5,100.2,sores on gums,difficulty walking,loss of appetite,foot and mouth
sheep,9,101.0,loss of appetite,difficulty walking,sores on mouth,foot and mouth
sheep,8,102.4,depression,loss of appetite,painless lumps,lumpy virus
buffalo,12,102.6,sores on tongue,lameness,loss of appetite,foot and mouth
buffalo,13,101.2,loss of appetite,difficulty walking,depression,blackleg
cow,12,102.9,loss of appetite,painless lumps,depression,lumpy virus
sheep,3,103.7,sweats,chills,shortness of breath,anthrax
goat,4,103.8,loss of appetite,coughing,depression,pneumonia
buffalo,12,100.4,shortness of breath,sweats,chills,anthrax
buffalo,10,100.2,difficult breathing,loss of appetite,depression,pneumonia
cow,1,101.9,loss of appetite,depression,painless lumps,lumpy virus
sheep,1,100.4,difficult breathing,loss of appetite,depression,pneumonia
sheep,8,101.5,loss of appetite,depression,difficult breathing,pneumonia
sheep,6,103.4,painless lumps,loss of appetite,depression,lumpy virus
buffalo,13,101.2,nasal discharge,depression,loss of appetite,pneumonia
buffalo,9,101.2,depression,painless lumps,loss of appetite,lumpy virus
